"","","CENTER (ZONE 1) Rarity","DAY TIME Pokémon","","Level","","Rarity","NIGHT TIME Pokémon","","Level","","Rarity","OLD ROD Pokémon","","Level","","Rarity","GOOD ROD Pokémon","","Level","","Rarity","SUPER ROD Pokémon","","Level","","Rarity","SURFING Pokémon","","Level","",""
"","","20%","","Kecleon","50-52","","20%","","Kecleon","50-52","","70%","","Magikarp","2-4","","60%","","Qwilfish","27-29","","40%","","Alomomola","53-55","","60%","","Frillish","56-58","",""
"","","20%","","Spinda","50-52","","20%","","Spinda","50-52","","30%","","Krabby","2-4","","20%","","Mareanie","27-29","","40%","","Basculin","53-55","","30%","","Golduck","56-58","",""
"","","10%","","Iron Hands","50-52","","10%","","Iron Moth","50-52","","","","","","","20%","","Mantyke","27-29","","15%","","Sharpedo","53-55","","5%","","Jellicent","56-58","",""
"","","10%","","Iron Hands","50-52","","10%","","Iron Moth","50-52","","","","","","","","","","","","4%","","Feebas","53-55","","4%","","Golduck","56-58","",""
"","","10%","","Meltan","50-52","","10%","","Meltan","50-52","","","","","","","","","","","","1%","","Feebas","53-55","","1%","","Golduck","56-58","",""
"","","10%","","Meltan","50-52","","10%","","Meltan","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Porygon","50-52","","5%","","Porygon","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Porygon","50-52","","5%","","Porygon","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Scyther","50-52","","4%","","Heracross","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Scyther","50-52","","4%","","Heracross","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Chansey","50-52","","1%","","Chansey","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Chansey","50-52","","1%","","Chansey","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","","DAY TIME","","","","","NIGHT TIME","","","","","OLD ROD","","","","","GOOD ROD","","","","","SUPER ROD","","","","","SURFING","","","",""
"","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","Level","",""
"","","20%","","Hawlucha","50-52","","20%","","Hawlucha","50-52","","70%","","Magikarp","2-4","","60%","","Corsola","27-29","","40%","","Gorebyss","53-55","","60%","","Wimpod","56-58","",""
"","","20%","","Castform","50-52","","20%","","Castform","50-52","","30%","","Arrokuda","2-4","","20%","","Seadra","27-29","","40%","","Huntail","53-55","","30%","","Lanturn","56-58","",""
"","","10%","","Tauros","50-52","","10%","","Tauros-Blaze","50-52","","","","","","","20%","","Remoraid","27-29","","15%","","Starmie","53-55","","5%","","Araquanid","56-58","",""
"","","10%","","Tauros-Combat","50-52","","10%","","Tauros-Aqua","50-52","","","","","","","","","","","","4%","","Dhelmise","53-55","","4%","","Seismitoad","56-58","",""
"","","10%","","Wobbuffet","50-52","","10%","","Wobbuffet","50-52","","","","","","","","","","","","1%","","Dhelmise","53-55","","1%","","Seismitoad","56-58","",""
"","","10%","","Wobbuffet","50-52","","10%","","Wobbuffet","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Zorua","50-52","","5%","","Zorua-Hisui","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Zorua","50-52","","5%","","Zorua-Hisui","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Pinsir","50-52","","4%","","Pinsir","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Pinsir","50-52","","4%","","Pinsir","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Kangaskhan","50-52","","1%","","Kangaskhan","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Kangaskhan","50-52","","1%","","Kangaskhan","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","","DAY TIME","","","","","NIGHT TIME","","","","","OLD ROD","","","","","GOOD ROD","","","","","SUPER ROD","","","","","SURFING","","","",""
"","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","Level","",""
"","","20%","","Klefki","50-52","","20%","","Klefki","50-52","","70%","","Magikarp","2-4","","60%","","Pyukumuku","27-29","","40%","","Kingler","53-55","","60%","","Dewpider","56-58","",""
"","","20%","","Sandy Shocks","50-52","","20%","","Sandy Shocks","50-52","","30%","","Poliwag","2-4","","20%","","Krabby","27-29","","40%","","Bruxish","53-55","","30%","","Toxapex","56-58","",""
"","","10%","","Scream Tail","50-52","","10%","","Brute Bonnet","50-52","","","","","","","20%","","Wailmer","27-29","","15%","","Tatsugiri","53-55","","5%","","Golisopod","56-58","",""
"","","10%","","Scream Tail","50-52","","10%","","Brute Bonnet","50-52","","","","","","","","","","","","4%","","Skrelp","53-55","","4%","","Golisopod","56-58","",""
"","","10%","","Bisharp","50-52","","10%","","Bisharp","50-52","","","","","","","","","","","","1%","","Skrelp","53-55","","1%","","Golisopod","56-58","",""
"","","10%","","Bisharp","50-52","","10%","","Bisharp","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Skarmory","50-52","","5%","","Corviknight","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Skarmory","50-52","","5%","","Corviknight","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Gimmighoul","50-52","","4%","","Gimmighoul","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Gimmighoul","50-52","","4%","","Gimmighoul","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Axew","50-52","","1%","","Axew","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Axew","50-52","","1%","","Axew","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","","DAY TIME","","","","","NIGHT TIME","","","","","OLD ROD","","","","","GOOD ROD","","","","","SUPER ROD","","","","","SURFING","","","",""
"","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","Level","",""
"","","20%","","Druddigon","50-52","","20%","","Druddigon","50-52","","70%","","Magikarp","2-4","","60%","","Qwilfish","27-29","","40%","","Crawdaunt","53-55","","60%","","Lumineon","56-58","",""
"","","20%","","Druddigon","50-52","","20%","","Druddigon","50-52","","30%","","Horsea","2-4","","20%","","Seadra","27-29","","40%","","Seaking","53-55","","30%","","Floatzel","56-58","",""
"","","10%","","Iron Thorns","50-52","","10%","","Iron Jugulis","50-52","","","","","","","20%","","Wailmer","27-29","","15%","","Basculin","53-55","","5%","","Relicanth","56-58","",""
"","","10%","","Iron Thorns","50-52","","10%","","Iron Jugulis","50-52","","","","","","","","","","","","4%","","Relicanth","53-55","","4%","","Golduck","56-58","",""
"","","10%","","Hippowdon","50-52","","10%","","Hippowdon","50-52","","","","","","","","","","","","1%","","Relicanth","53-55","","1%","","Milotic","56-58","",""
"","","10%","","Hippowdon","50-52","","10%","","Hippowdon","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Slither Wing","50-52","","5%","","Slither Wing","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Slither Wing","50-52","","5%","","Slither Wing","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Crabominable","50-52","","4%","","Crabominable","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Crabominable","50-52","","4%","","Crabominable","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Smeargle","50-52","","1%","","Smeargle","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Smeargle","50-52","","1%","","Smeargle","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","","DAY TIME","","","","","NIGHT TIME","","","","","OLD ROD","","","","","GOOD ROD","","","","","SUPER ROD","","","","","SURFING","","","",""
"","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","","","","Pokémon","","Level","","","Pokémon","","Level","","","Pokémon","","Level","",""
"","","20%","","Hydrapple","50-52","","20%","","Hydrapple","50-52","","70%","","Magikarp","2-4","","60%","","Qwilfish","27-29","","40%","","Crawdaunt","53-55","","60%","","Lapras","56-58","",""
"","","20%","","Carnivine","50-52","","20%","","Carnivine","50-52","","30%","","Horsea","2-4","","20%","","Seadra","27-29","","40%","","Seaking","53-55","","30%","","Floatzel","56-58","",""
"","","10%","","Chatot","50-52","","10%","","Chatot","50-52","","","","","","","20%","","Wailmer","27-29","","15%","","Basculin","53-55","","5%","","Relicanth","56-58","",""
"","","10%","","Munchlax","50-52","","10%","","Munchlax","50-52","","","","","","","","","","","","4%","","Relicanth","53-55","","4%","","Golduck","56-58","",""
"","","10%","","Eiscue","50-52","","10%","","Eiscue","50-52","","","","","","","","","","","","1%","","Relicanth","53-55","","1%","","Milotic","56-58","",""
"","","10%","","Eiscue","50-52","","10%","","Eiscue","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Sirfetch'd","50-52","","5%","","Sirfetch'd","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","5%","","Sirfetch'd","50-52","","5%","","Sirfetch'd","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Eevee","50-52","","4%","","Eevee","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","4%","","Eevee","50-52","","4%","","Eevee","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Floette-Eternal","50-52","","1%","","Floette-Eternal","50-52","","","","","","","","","","","","","","","","","","","","","",""
"","","1%","","Floette-Eternal","50-52","","1%","","Floette-Eternal","50-52","","","","","","","","","","","","","","","","","","","","","",""